"Monthly-mean 2-d atmosphere or land surface data (longitude, latitude, time:month)",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
tendency_of_atmosphere_mass_content_of_ammonia_due_to_wet_deposition,Wet Deposition Rate of NH3,wetnh3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_carbon_monoxide_due_to_emission,Total Emission Rate of CO,emico,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
CF25_FAIL tendency_of_atmosphere_mass_content_of_non_methane_volatile_organic_compounds_as_carbon_due_to_emission,Total Emission Rate of NMVOC,emivoc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file."
CF25_FAIL tendency_of_atmosphere_mass_content_of_non_methane_volatile_organic_compounds_expressed_as_carbon_due_to_emission_from_vegetation,Total Emission Rate of Biogenic NMVOC,emibvoc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file."
CF25_FAIL tendency_of_atmosphere_mass_content_of_isoprene_due_to_emission_from_vegetation,Total Emission Rate of Biogenic Isoprene,emibisop,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_non_methane_volatile_organic_compounds_as_carbon_due_to_emission,Total Emission Rate of Anthropogenic NMVOC,emiavoc,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,"Includes agricultural waste burning but no other biomass burning.  Integrate 3D emission field vertically to 2d field.  _If_ fixed molecular weight of NMVOC is not available in model, please provide in units of kilomole m-2 s-1 (i.e. kg m-2 s-1 as if model NMVOC had molecular weight of 1) and add a comment to your file."
CF25_FAIL tendency_of_atmosphere_mass_content_of_anthropogenic_carbon_monoxide_due_to_emission,Total Emission Rate of Anthropogenic CO,emiaco,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Includes agricultural waste burning but no other biomass burning. proposed name: tendency_of_atmosphere_mass_content_of_anthropogenic_carbon_monoxide_due_to_emission. Integrate 3D emission field vertically to 2d field.
CF25_FAIL atmosphere_aerosol_asymmetry_parameter ,Asymmetry Parameter,asyaer,1,NA,time: mean,NA,0.0,1000.0,
angstrom_exponent_of_ambient_aerosol_in_air,Angstrom Exponent 440/870nm,ang4487aer,1,NA,time: mean,NA,0.0,1000.0,general standard name is angstrom_exponent_of_ambient_aerosol_in_air
angstrom_exponent_of_ambient_aerosol_in_air,Angstrom Exponent 440/670nm,ang4467aer,1,NA,time: mean,NA,0.0,1000.0,general standard name is angstrom_exponent_of_ambient_aerosol_in_air
angstrom_exponent_of_ambient_aerosol_in_air,Angstrom Exponent 500/870nm,ang5087aer,1,NA,time: mean,NA,0.0,1000.0,general standard name is angstrom_exponent_of_ambient_aerosol_in_air
CF25_FAIL atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol,Sulfate AOD at 550nm,od550so4,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_sulfate_ambient_aerosol
atmosphere_optical_thickness_due_to_black_carbon_ambient_aerosol,Black Carbon AOD at 550nm,od550bc,1,wv550nm,time: mean,NA,0.0,1000.0,
atmosphere_optical_thickness_due_to_particulate_organic_matter_ambient_aerosol,POM AOD at 550nm,od550oa,1,wv550nm,time: mean,NA,0.0,1000.0,
CF25_FAIL atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol,SOA AOD at 550nm,od550soa,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_secondary_particulate_organic_matter_ambient_aerosol
CF25_FAIL atmosphere_optical_thickness_due_to_biomass_burning_ambient_aerosol,BB AOD at 550nm,od550bb,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_biomass_burning_ambient_aerosol
CF25_FAIL atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol,Nitrate AOD at 550nm,od550no3,1,wv550nm,time: mean,NA,0.0,1000.0,proposed name: atmosphere_optical_thickness_due_to_nitrate_ambient_aerosol
