"Monthly-mean zonal mean 2-d atmosphere or land surface data (latitude, pressure, time:month) Provide output interpolated to fixed pressure levels at:",,,,,,,,,
1000 850 700 500 400 300 250 200 170 150 130 115 100 90 80 70 50 30 20 15 10 7 5 3 2 1.5 1 0.5 0.3 0.2 0.1,,,,,,,,,"(interpolate first each column to fixed pressure levels, then calculate zonal mean; take into account missing values)"
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
tendency_of_eastward_wind_due_to_orographic_gravity_wave_drag,Tendency of Eastward Wind from OGWD,accelogw,m s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,Eastward acceleration from the parameterized orographic gravity wave drag (OGWD) derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available). Use the accelerations as applied in your model.
upward_eastward_momentum_flux_in_air_due_to_orographic_gravity_waves,,ogwflux,Pa,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Zonal orographic gravity wave stress (momentum flux), including any flux out of the top of the model (e.g., add additional level to the output file for model top. Set flux at this level to zero if nothing escapes to outer space in your model), derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available)."
tendency_of_eastward_wind_due_to_nonorographic_gravity_wave_drag,Tendency of Eastward Wind from Non-OGWD,accelnogw,m s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,Eastward acceleration from the parameterized non-orographic gravity wave drag (NOGWD) derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available). Use the accelerations as applied in your model.
upward_eastward_momentum_flux_in_air_due_to_nonorographic_eastward_gravity_waves,,nogwfluxw,Pa,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Westward component of the zonal non-orographic gravity wave momentum flux, including any flux out of the top of the model (e.g., add additional level to the output file for model top. Set flux at this level to zero if nothing escapes to outer space in your model), derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available)."
upward_eastward_momentum_flux_in_air_due_to_nonorographic_westward_gravity_waves,,nogwfluxe,Pa,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Eastward component of the zonal non-orographic gravity wave momentum flux, including any flux out of the top of the model (e.g., add additional level to the output file for model top. Set flux at this level to zero if nothing escapes to outer space in your model), derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available)."
tendency_of_eastward_wind_due_to_numerical_artefacts,,diabdrag,m s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Other sub-grid scale/numerical zonal drag excluding that already provided for the parameterized orographic and non-ororgraphic gravity waves. This would be used to calculate the total 'diabatic drag'. Contributions to this additional drag such Rayleigh friction and diffusion that can be calculated from the monthly mean wind fields should not be included, but details (e.g. coefficients) of the friction and/or diffusion used in the model should be provided separately."
mole_fraction_of_formaldehyde_in_air,Zonal Mean CH2O Volume Mixing Ratio,zmch2o,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_methyl_hydroperoxide_in_air,Zonal Mean CH3OOH Volume Mixing Ratio,zmch3ooh,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_carbon_monoxide_in_air,Zonal Mean CO Volume Mixing Ratio,zmco,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
tendency_of_air_temperature_due_to_diabatic_processes,Zonal Mean Diabatic Heating Rates,zmtnt,K s-1,NA,time: mean longitude: mean,NA,-500.0,500.0,The diabatic heating rates due to all the processes that may change potential temperature
